Date,Inventory_Thousand_Barrels,Percentage_Change
2020-01-03,1910701,
2020-01-10,1925131,0.007552202045217893
2020-01-17,1923437,-0.0008799401183607891
2020-01-24,1924716,0.0006649554937332436
2020-01-31,1924005,-0.00036940514860372975
2020-02-07,1923009,-0.0005176701723748067
2020-02-14,1921936,-0.0005579797078433257
2020-02-21,1919976,-0.0010198050299281558
2020-02-28,1908160,-0.006154243594711617
2020-03-06,1900480,-0.004024819721616613
2020-03-13,1892950,-0.003962156928775884
2020-03-20,1895253,0.0012166195620593179
2020-03-27,1916252,0.011079787236849103
2020-04-03,1949299,0.017245644101089086
2020-04-10,1976540,0.013974767339438365
2020-04-17,2002071,0.012917016604774068
2020-04-24,2013630,0.00577352151846755
2020-05-01,2033262,0.009749556770608292
2020-05-08,2034651,0.0006831387199486283
2020-05-15,2041568,0.0033996002262794978
2020-05-22,2058544,0.00831517735387699
2020-05-29,2077708,0.009309492534529173
2020-06-05,2089637,0.0057414227600798284
2020-06-12,2098453,0.004218914577029498
2020-06-19,2104376,0.002822555473007915
2020-06-26,2107192,0.0013381639022684855
2020-07-03,2117643,0.004959680940322508
2020-07-10,2108493,-0.004320841614946391
2020-07-17,2117306,0.004179762512846796
2020-07-24,2110827,-0.003060020611097336
2020-07-31,2108712,-0.0010019769502663811
2020-08-07,2100319,-0.00398015471055313
2020-08-14,2095037,-0.0025148560766246053
2020-08-21,2085502,-0.004551232269406236
2020-08-28,2076448,-0.004341400775448756
2020-09-04,2072722,-0.0017944104547765738
2020-09-11,2074896,0.001048862317281296
2020-09-18,2066636,-0.0039809224173162905
2020-09-25,2064262,-0.001148726723041671
2020-10-02,2061140,-0.0015124049175928578
2020-10-09,2043185,-0.008711198657053831
2020-10-16,2035184,-0.003915944958483908
2020-10-23,2030647,-0.0022292824629124297
2020-10-30,2015817,-0.007303091083777691
2020-11-06,2003775,-0.005973756546353126
2020-11-13,1993215,-0.005270052775386502
2020-11-20,1992034,-0.0005925100904820013
2020-11-27,1992150,5.823193780818414e-05
2020-12-04,2011971,0.009949551991566885
2020-12-11,2005729,-0.0031024304028238747
2020-12-18,1995054,-0.005322254402264748
2020-12-25,1980125,-0.007483005472533555
2021-01-01,1981780,0.0008358058203397079
2021-01-08,1972355,-0.004755825570951333
2021-01-15,1971674,-0.0003452725295395309
2021-01-22,1959968,-0.0059370869626520495
2021-01-29,1962887,0.0014893100295514383
2021-02-05,1951553,-0.005774147976933985
2021-02-12,1936352,-0.007789181231562803
2021-02-19,1922540,-0.0071330006114590505
2021-02-26,1919752,-0.0014501648860362204
2021-03-05,1921071,0.0006870679129387103
2021-03-12,1924658,0.0018671876260689668
2021-03-19,1929445,0.0024871951276539406
2021-03-26,1928098,-0.0006981282182182413
2021-04-02,1930406,0.0011970345905654156
2021-04-09,1920248,-0.005262105484545754
2021-04-16,1923069,0.0014690810770274787
2021-04-23,1919995,-0.00159848658576478
2021-04-30,1913365,-0.003453133992536439
2021-05-07,1915851,0.0012992816320984701
2021-05-14,1913717,-0.0011138653266876686
2021-05-21,1904404,-0.004866445770194905
2021-05-28,1905678,0.0006689757005340358
2021-06-04,1919796,0.00740838693630308
2021-06-11,1914257,-0.002885202386086805
2021-06-18,1906745,-0.003924237968047084
2021-06-25,1900762,-0.0031378081494903842
2021-07-02,1889667,-0.005837132686785651
2021-07-09,1892157,0.0013176924823261604
2021-07-16,1896581,0.002338072369258981
2021-07-23,1890130,-0.003401383858638307
2021-07-30,1888961,-0.0006184759778428139
2021-08-06,1888825,-7.199725139905855e-05
2021-08-13,1883527,-0.002804918401651868
2021-08-20,1878737,-0.0025431013200235553
2021-08-27,1865118,-0.0072490188887534
2021-09-03,1854727,-0.005571229273429346
2021-09-10,1845415,-0.005020684984906154
2021-09-17,1841627,-0.0020526548228989583
2021-09-24,1851676,0.005456588114748584
2021-10-01,1851562,-6.156584629279926e-05
2021-10-08,1855682,0.0022251482802089217
2021-10-15,1844183,-0.006196643605962615
2021-10-22,1847479,0.001787241287876551
2021-10-29,1846463,-0.0005499385919948141
2021-11-05,1842133,-0.002345023972860516
2021-11-12,1830012,-0.006579872354493421
2021-11-19,1822392,-0.004163907121920496
2021-11-26,1824711,0.0012725033911473727
2021-12-03,1827222,0.001376108326195169
2021-12-10,1809406,-0.009750320431781145
2021-12-17,1799881,-0.005264158513899053
2021-12-24,1779614,-0.01126018886804181
2021-12-31,1788433,0.00495556901665184
2022-01-07,1783651,-0.002673849118194571
2022-01-14,1780811,-0.0015922397374822372
2022-01-21,1775470,-0.0029991953104512303
2022-01-28,1767813,-0.004312660872895613
2022-02-04,1758364,-0.005345022352477358
2022-02-11,1745787,-0.00715267146051668
2022-02-18,1741514,-0.0024476067240734034
2022-02-25,1735213,-0.0036181161908546144
2022-03-04,1724594,-0.006119709799315753
2022-03-11,1719027,-0.0032280061278190386
2022-03-18,1708138,-0.006334397307313999
2022-03-25,1706972,-0.0006826146365223051
2022-04-01,1708416,0.0008459424056164178
2022-04-08,1711881,0.002028194538098438
2022-04-15,1699086,-0.007474234482420239
2022-04-22,1696899,-0.0012871626274361114
2022-04-29,1696420,-0.0002822796171133568
2022-05-06,1699318,0.0017083033682696591
2022-05-13,1691379,-0.004671874246021002
2022-05-20,1686064,-0.0031424062850490264
2022-05-27,1681261,-0.002848646314730585
2022-06-03,1684943,0.0021900228459472704
2022-06-10,1682179,-0.0016404115747535863
2022-06-17,1679111,-0.0018238249318295319
2022-06-24,1678509,-0.000358523051781523
2022-07-01,1677795,-0.00042537752255122907
2022-07-08,1692658,0.008858650788683864
2022-07-15,1688796,-0.0022816186140377503
2022-07-22,1679939,-0.005244564766851645
2022-07-29,1678775,-0.0006928823010835528
2022-08-05,1686484,0.004592038837843093
2022-08-12,1673923,-0.007448039827238184
2022-08-19,1667196,-0.004018703369270904
2022-08-26,1663939,-0.0019535795431371294
2022-09-02,1667619,0.0022116195365335933
2022-09-09,1664676,-0.0017647915980808504
2022-09-16,1667020,0.0014080818129174055
2022-09-23,1653552,-0.008079087233506477
2022-09-30,1637354,-0.009795881834983144
2022-10-07,1637697,0.00020948432654144256
2022-10-14,1631600,-0.003722910892552167
2022-10-21,1626530,-0.003107379259622456
2022-10-28,1623891,-0.0016224723798515805
2022-11-04,1619505,-0.0027009201972300056
2022-11-11,1608865,-0.0065699087066727335
2022-11-18,1610605,0.0010815077710062404
2022-11-25,1600432,-0.006316260038929489
2022-12-02,1604208,0.0023593629719975695
2022-12-09,1613439,0.0057542413452620345
2022-12-16,1598236,-0.009422729957562659
2022-12-23,1583499,-0.009220790921991462
2022-12-30,1577627,-0.0037082435795665614
2023-01-06,1599229,0.013692716973023433
2023-01-13,1601607,0.0014869665319976466
2023-01-20,1605596,0.0024906234800421423
2023-01-27,1607193,0.0009946462248286991
2023-02-03,1610547,0.0020868682230448243
2023-02-10,1629756,0.011927003682599802
2023-02-17,1633058,0.0020260701601957365
2023-02-24,1630076,-0.001826022100868463
2023-03-03,1631927,0.0011355298771345002
2023-03-10,1630001,-0.001180199849625585
2023-03-17,1619566,-0.006401836563290408
2023-03-24,1608878,-0.006599298824499944
2023-03-31,1597425,-0.007118625526609246
2023-04-07,1604231,0.004260606914252563
2023-04-14,1602195,-0.0012691439075793731
2023-04-21,1600781,-0.0008825392664438825
2023-04-28,1599194,-0.0009913910772304524
2023-05-05,1596753,-0.0015263939209376742
2023-05-12,1601938,0.0032472148165683112
2023-05-19,1589539,-0.007739999925090779
2023-05-26,1598350,0.0055431165891495215
2023-06-02,1609281,0.006838927644132964
2023-06-09,1619541,0.006375518010838466
2023-06-16,1619145,-0.0002445137233326733
2023-06-23,1612544,-0.004076843025176857
2023-06-30,1608320,-0.0026194634068900102
2023-07-07,1624895,0.010305784918424266
2023-07-14,1623748,-0.0007058917653141039
2023-07-21,1623257,-0.00030238682357119906
2023-07-28,1612818,-0.00643089788000295
2023-08-04,1620924,0.0050259855730776515
2023-08-11,1614127,-0.004193287285523595
2023-08-18,1611727,-0.0014868718508518342
2023-08-25,1604291,-0.004613684575613619
2023-09-01,1605491,0.0007479939736618757
2023-09-08,1616190,0.006664004967950721
2023-09-15,1619772,0.0022163235758172473
2023-09-22,1618029,-0.0010760773738526241
2023-09-29,1622967,0.0030518612459975447
2023-10-06,1629265,0.0038805471707064054
2023-10-13,1617380,-0.007294700371026197
2023-10-20,1616887,-0.0003048139583771148
2023-10-27,1613836,-0.0018869593236880977
2023-11-03,1615000,0.0007212628792516718
2023-11-10,1614940,-3.715170278639768e-05
2023-11-17,1619403,0.0027635701635975174
2023-11-24,1622622,0.0019877695669330286
2023-12-01,1621239,-0.0008523242012002941
2023-12-08,1611228,-0.006174906969299454
2023-12-15,1614562,0.002069229184199939
2023-12-22,1597571,-0.010523597111786409
2023-12-29,1605513,0.004971297050334611
2024-01-05,1615663,0.006321966872893547
2024-01-12,1619033,0.0020858310179783235
2024-01-19,1597628,-0.013220854670658366
2024-01-26,1588923,-0.005448702701755348
2024-02-02,1585080,-0.002418619404464528
2024-02-09,1591013,0.0037430287430286757
2024-02-16,1591000,-8.17089489524303e-06
2024-02-23,1588585,-0.0015179132620992686
2024-03-01,1583783,-0.003022815902202325
2024-03-08,1579652,-0.002608311871007629
2024-03-15,1574253,-0.003417841397978849
2024-03-22,1580322,0.0038551617814925887
2024-03-29,1578731,-0.0010067568508189684
2024-04-05,1591735,0.008236995409604209
2024-04-12,1602406,0.006704005377779598
2024-04-19,1599431,-0.0018565831630685814
2024-04-26,1607883,0.005284379257373351
2024-05-03,1606700,-0.0007357500514652004
2024-05-10,1610810,0.0025580382149748004
2024-05-17,1619299,0.005270019431217854
2024-05-24,1632473,0.008135619178422315
2024-05-31,1646827,0.00879279473534944
2024-06-07,1658627,0.007165294229448449
2024-06-14,1658780,9.224497129256548e-05
2024-06-21,1668222,0.005692135183689162
2024-06-28,1655662,-0.007528973961499097
2024-07-05,1658697,0.0018331036165595282
2024-07-12,1669754,0.0066660758414587296
2024-07-19,1665878,-0.002321300023835793
2024-07-26,1664122,-0.0010540987995519835
2024-08-02,1666068,0.001169385417655766
2024-08-09,1663659,-0.001445919374239213
2024-08-16,1658445,-0.003134055716946804
2024-08-23,1656136,-0.0013922680583317026
2024-08-30,1649891,-0.0037708255843722505
2024-09-06,1659136,0.005603400467061093
2024-09-13,1663174,0.002433796867767235
2024-09-20,1649879,-0.007993751706075303
2024-09-27,1649630,-0.00015092015838735762
2024-10-04,1641911,-0.004679231100307324
2024-10-11,1635840,-0.0036975207547790268
2024-10-18,1642502,0.004072525430359963
2024-10-25,1634198,-0.005055701606451635
2024-11-01,1634461,0.00016093521103321962
2024-11-08,1628553,-0.0036146472751568126
2024-11-15,1633001,0.002731258976526929
2024-11-22,1632376,-0.0003827309352535391
2024-11-29,1629112,-0.001999539321822952
2024-12-06,1628917,-0.00011969711106418757
2024-12-13,1626224,-0.0016532456840956389
2024-12-20,1613783,-0.0076502376056435395
2024-12-27,1623360,0.005934502966012056
2025-01-03,1628624,0.0032426572048098734
2025-01-10,1625682,-0.0018064329151480374
2025-01-17,1621794,-0.0023916116436055734
2025-01-24,1608159,-0.00840735629802547
2025-01-31,1605706,-0.0015253466852469533
2025-02-07,1607173,0.0009136168140368994
2025-02-14,1607364,0.00011884221549274265
2025-02-21,1605146,-0.0013798990147844137
2025-02-28,1600552,-0.002862044947936182
2025-03-07,1594870,-0.0035500252412917765
2025-03-14,1596776,0.0011950817307992967
2025-03-21,1600254,0.0021781389499841985
2025-03-28,1605891,0.00352256579268051
2025-04-04,1607410,0.0009458923426308719
2025-04-11,1605634,-0.0011048830105573337
2025-04-18,1605365,-0.00016753506714484168
2025-04-25,1610654,0.0032945778685844473
2025-05-02,1612398,0.001082789972272069
2025-05-09,1617795,0.0033471884733173862
2025-05-16,1623569,0.003569055411841493
2025-05-23,1623724,9.546868657883678e-05
2025-05-30,1637159,0.008274189455843572
2025-06-06,1643559,0.003909211017378178
2025-06-13,1637180,-0.00388121144418907
2025-06-20,1633245,-0.002403523131237817
2025-06-27,1642845,0.00587786890515507
2025-07-04,1649494,0.004047247305740909
2025-07-11,1658540,0.005484106034941538
2025-07-18,1653187,-0.003227537472716979
2025-07-25,1660512,0.004430835713080228
2025-08-01,1662801,0.0013784904896803063
2025-08-08,1670549,0.00465960749362071
2025-08-15,1666537,-0.0024016056996831736
2025-08-22,1662919,-0.0021709689013805766
2025-08-29,1670530,0.004576891598448318
2025-09-05,1686474,0.009544276367380311
2025-09-12,1688149,0.0009931964560379036
2025-09-19,1687905,-0.00014453700473127107
2025-09-26,1695087,0.00425497880508674
2025-10-03,1694142,-0.0005574935091826605
2025-10-10,1696565,0.0014302224961071364
2025-10-17,1693212,-0.001976346323306233
2025-10-24,1677842,-0.009077422082999664
2025-10-31,1678973,0.0006740801577265199
2025-11-07,1682295,0.0019785904835873946
2025-11-14,1680113,-0.0012970376776962889
2025-11-21,1682173,0.0012261080058304508
2025-11-28,1687647,0.0032541242785373292
2025-12-05,1684734,-0.0017260718621844306
2025-12-12,1687122,0.0014174344436570507
2025-12-19,1688594,0.0008724917344447025
2025-12-26,1698998,0.006161338960105178
