"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2025","1,107.00","1,107.00","1,107.00","1,107.00","","0.18%"
"03/28/2025","1,105.00","1,105.00","1,105.00","1,105.00","","0.27%"
"03/27/2025","1,102.00","1,102.00","1,102.00","1,102.00","","9.00%"
"03/25/2025","1,011.00","1,011.00","1,011.00","1,011.00","","1.71%"
"03/24/2025","994.00","994.00","994.00","994.00","","12.83%"
"03/06/2025","881.00","881.00","881.00","881.00","","-0.23%"
"03/05/2025","883.00","883.00","883.00","883.00","","-0.11%"
"03/04/2025","884.00","884.00","884.00","884.00","","0.34%"
"03/03/2025","881.00","881.00","881.00","881.00","","-0.45%"
"02/28/2025","885.00","885.00","885.00","885.00","","0.57%"
"02/27/2025","880.00","880.00","880.00","880.00","","-0.23%"
"02/26/2025","882.00","882.00","882.00","882.00","","-0.68%"
"02/25/2025","888.00","888.00","888.00","888.00","","-1.33%"
"02/24/2025","900.00","900.00","900.00","900.00","","-1.21%"
"02/21/2025","911.00","911.00","911.00","911.00","","-0.98%"
"02/20/2025","920.00","920.00","920.00","920.00","","-0.54%"
"02/19/2025","925.00","925.00","925.00","925.00","","0.76%"
"02/18/2025","918.00","918.00","918.00","918.00","","0.66%"
"02/17/2025","912.00","912.00","912.00","912.00","","0.22%"
"02/14/2025","910.00","910.00","910.00","910.00","","1.79%"
"02/13/2025","894.00","894.00","894.00","894.00","","0.45%"
"02/12/2025","890.00","890.00","890.00","890.00","","-0.22%"
"02/11/2025","892.00","892.00","892.00","892.00","","-0.78%"
"02/10/2025","899.00","899.00","899.00","899.00","","-0.44%"
"02/07/2025","903.00","903.00","903.00","903.00","","0.00%"
"02/06/2025","903.00","903.00","903.00","903.00","","0.33%"
"02/05/2025","900.00","900.00","900.00","900.00","","0.22%"
"02/04/2025","898.00","898.00","898.00","898.00","","1.93%"
"02/03/2025","881.00","881.00","881.00","881.00","","0.57%"
"01/31/2025","876.00","876.00","876.00","876.00","","0.92%"
"01/30/2025","868.00","868.00","868.00","868.00","","2.12%"
"01/29/2025","850.00","850.00","850.00","850.00","","0.83%"
"01/28/2025","843.00","843.00","843.00","843.00","","0.36%"
"01/27/2025","840.00","840.00","840.00","840.00","","-0.59%"
"01/24/2025","845.00","845.00","845.00","845.00","","-1.29%"
"01/23/2025","856.00","856.00","856.00","856.00","","-2.95%"
"01/22/2025","882.00","882.00","882.00","882.00","","-2.22%"
"01/21/2025","902.00","902.00","902.00","902.00","","-1.64%"
"01/20/2025","917.00","917.00","917.00","917.00","","0.55%"
"01/17/2025","912.00","912.00","912.00","912.00","","0.00%"
"01/16/2025","912.00","912.00","912.00","912.00","","3.17%"
"01/15/2025","884.00","884.00","884.00","884.00","","0.57%"
"01/14/2025","879.00","879.00","879.00","879.00","","2.81%"
"01/13/2025","855.00","855.00","855.00","855.00","","4.14%"
"01/10/2025","821.00","821.00","821.00","821.00","","2.75%"
"01/09/2025","799.00","799.00","799.00","799.00","","-0.75%"
"01/08/2025","805.00","805.00","805.00","805.00","","-1.11%"
"01/07/2025","814.00","814.00","814.00","814.00","","-1.81%"
"01/06/2025","829.00","829.00","829.00","829.00","","-1.43%"
"01/03/2025","841.00","841.00","841.00","841.00","","-1.41%"
"01/02/2025","853.00","853.00","853.00","853.00","","-7.98%"
"12/24/2024","927.00","927.00","927.00","927.00","","-0.22%"
"12/23/2024","929.00","929.00","929.00","929.00","","0.43%"
"12/20/2024","925.00","925.00","925.00","925.00","","1.20%"
"12/19/2024","914.00","914.00","914.00","914.00","","-0.44%"
"12/18/2024","918.00","918.00","918.00","918.00","","-1.18%"
"12/17/2024","929.00","929.00","929.00","929.00","","0.76%"
"12/16/2024","922.00","922.00","922.00","922.00","","0.11%"
"12/13/2024","921.00","921.00","921.00","921.00","","-0.86%"
"12/12/2024","929.00","929.00","929.00","929.00","","-0.21%"
"12/11/2024","931.00","931.00","931.00","931.00","","-0.11%"
"12/10/2024","932.00","932.00","932.00","932.00","","-0.53%"
"12/09/2024","937.00","937.00","937.00","937.00","","-0.64%"
"12/06/2024","943.00","943.00","943.00","943.00","","-0.11%"
"12/05/2024","944.00","944.00","944.00","944.00","","1.94%"
"12/04/2024","926.00","926.00","926.00","926.00","","4.28%"
"12/03/2024","888.00","888.00","888.00","888.00","","-0.22%"
"12/02/2024","890.00","890.00","890.00","890.00","","-0.22%"
"11/29/2024","892.00","892.00","892.00","892.00","","-0.11%"
"11/28/2024","893.00","893.00","893.00","893.00","","-0.22%"
"11/27/2024","895.00","895.00","895.00","895.00","","0.67%"
"11/26/2024","889.00","889.00","889.00","889.00","","-1.77%"
"11/25/2024","905.00","905.00","905.00","905.00","","-0.33%"
"11/22/2024","908.00","908.00","908.00","908.00","","-0.66%"
"11/21/2024","914.00","914.00","914.00","914.00","","-0.11%"
"11/20/2024","915.00","915.00","915.00","915.00","","-0.97%"
"11/19/2024","924.00","924.00","924.00","924.00","","1.87%"
"11/18/2024","907.00","907.00","907.00","907.00","","1.91%"
"11/15/2024","890.00","890.00","890.00","890.00","","0.11%"
"11/14/2024","889.00","889.00","889.00","889.00","","0.00%"
"11/13/2024","889.00","889.00","889.00","889.00","","-1.44%"
"11/12/2024","902.00","902.00","902.00","902.00","","-0.88%"
"11/11/2024","910.00","910.00","910.00","910.00","","-0.33%"
"11/08/2024","913.00","913.00","913.00","913.00","","-0.98%"
"11/07/2024","922.00","922.00","922.00","922.00","","-0.97%"
"11/06/2024","931.00","931.00","931.00","931.00","","-1.38%"
"11/05/2024","944.00","944.00","944.00","944.00","","-0.63%"
"11/04/2024","950.00","950.00","950.00","950.00","","-0.73%"
"11/01/2024","957.00","957.00","957.00","957.00","","-0.93%"
"10/31/2024","966.00","966.00","966.00","966.00","","-0.51%"
"10/30/2024","971.00","971.00","971.00","971.00","","-2.12%"
"10/29/2024","992.00","992.00","992.00","992.00","","-2.07%"
"10/28/2024","1,013.00","1,013.00","1,013.00","1,013.00","","-2.22%"
"10/25/2024","1,036.00","1,036.00","1,036.00","1,036.00","","-0.48%"
"10/24/2024","1,041.00","1,041.00","1,041.00","1,041.00","","-0.29%"
"10/23/2024","1,044.00","1,044.00","1,044.00","1,044.00","","-0.95%"
"10/22/2024","1,054.00","1,054.00","1,054.00","1,054.00","","0.96%"
"10/21/2024","1,044.00","1,044.00","1,044.00","1,044.00","","0.10%"
"10/18/2024","1,043.00","1,043.00","1,043.00","1,043.00","","0.58%"
"10/17/2024","1,037.00","1,037.00","1,037.00","1,037.00","","0.10%"
"10/16/2024","1,036.00","1,036.00","1,036.00","1,036.00","","-0.29%"
"10/15/2024","1,039.00","1,039.00","1,039.00","1,039.00","","0.10%"
"10/14/2024","1,038.00","1,038.00","1,038.00","1,038.00","","0.19%"
"10/11/2024","1,036.00","1,036.00","1,036.00","1,036.00","","-0.19%"
"10/10/2024","1,038.00","1,038.00","1,038.00","1,038.00","","1.37%"
"10/09/2024","1,024.00","1,024.00","1,024.00","1,024.00","","-1.54%"
"10/08/2024","1,040.00","1,040.00","1,040.00","1,040.00","","-1.70%"
"10/07/2024","1,058.00","1,058.00","1,058.00","1,058.00","","-0.19%"
"10/04/2024","1,060.00","1,060.00","1,060.00","1,060.00","","2.02%"
"10/03/2024","1,039.00","1,039.00","1,039.00","1,039.00","","9.25%"
"10/02/2024","951.00","951.00","951.00","951.00","","9.69%"
"10/01/2024","867.00","867.00","867.00","867.00","","0.46%"
"09/30/2024","863.00","863.00","863.00","863.00","","0.12%"
"09/27/2024","862.00","862.00","862.00","862.00","","0.23%"
"09/26/2024","860.00","860.00","860.00","860.00","","-0.58%"
"09/25/2024","865.00","865.00","865.00","865.00","","-1.26%"
"09/24/2024","876.00","876.00","876.00","876.00","","-1.35%"
"09/23/2024","888.00","888.00","888.00","888.00","","-0.67%"
"09/20/2024","894.00","894.00","894.00","894.00","","-0.33%"
"09/19/2024","897.00","897.00","897.00","897.00","","0.90%"
"09/18/2024","889.00","889.00","889.00","889.00","","0.11%"
"09/17/2024","888.00","888.00","888.00","888.00","","0.68%"
"09/16/2024","882.00","882.00","882.00","882.00","","-0.11%"
"09/13/2024","883.00","883.00","883.00","883.00","","0.00%"
"09/12/2024","883.00","883.00","883.00","883.00","","-0.23%"
"09/11/2024","885.00","885.00","885.00","885.00","","0.00%"
"09/10/2024","885.00","885.00","885.00","885.00","","0.57%"
"09/09/2024","880.00","880.00","880.00","880.00","","1.15%"
"09/06/2024","870.00","870.00","870.00","870.00","","0.46%"
"09/05/2024","866.00","866.00","866.00","866.00","","0.23%"
"09/04/2024","864.00","864.00","864.00","864.00","","-0.46%"
"09/03/2024","868.00","868.00","868.00","868.00","","-0.46%"
"09/02/2024","872.00","872.00","872.00","872.00","","-1.02%"
"08/30/2024","881.00","881.00","881.00","881.00","","-0.34%"
"08/29/2024","884.00","884.00","884.00","884.00","","-1.45%"
"08/28/2024","897.00","897.00","897.00","897.00","","-1.54%"
"08/27/2024","911.00","911.00","911.00","911.00","","-0.98%"
"08/23/2024","920.00","920.00","920.00","920.00","","-0.54%"
"08/22/2024","925.00","925.00","925.00","925.00","","-1.49%"
"08/21/2024","939.00","939.00","939.00","939.00","","-0.42%"
"08/20/2024","943.00","943.00","943.00","943.00","","0.32%"
"08/19/2024","940.00","940.00","940.00","940.00","","0.43%"
"08/16/2024","936.00","936.00","936.00","936.00","","0.86%"
"08/15/2024","928.00","928.00","928.00","928.00","","2.77%"
"08/14/2024","903.00","903.00","903.00","903.00","","-0.11%"
"08/13/2024","904.00","904.00","904.00","904.00","","-1.20%"
"08/12/2024","915.00","915.00","915.00","915.00","","-0.76%"
"08/09/2024","922.00","922.00","922.00","922.00","","-0.54%"
"08/08/2024","927.00","927.00","927.00","927.00","","-0.32%"
"08/07/2024","930.00","930.00","930.00","930.00","","-0.53%"
"08/06/2024","935.00","935.00","935.00","935.00","","-0.53%"
"08/05/2024","940.00","940.00","940.00","940.00","","-1.26%"
"08/02/2024","952.00","952.00","952.00","952.00","","-0.83%"
"08/01/2024","960.00","960.00","960.00","960.00","","-1.23%"
"07/31/2024","972.00","972.00","972.00","972.00","","-3.09%"
"07/30/2024","1,003.00","1,003.00","1,003.00","1,003.00","","-1.38%"
"07/29/2024","1,017.00","1,017.00","1,017.00","1,017.00","","-0.59%"
"07/26/2024","1,023.00","1,023.00","1,023.00","1,023.00","","-1.25%"
"07/25/2024","1,036.00","1,036.00","1,036.00","1,036.00","","-0.77%"
"07/24/2024","1,044.00","1,044.00","1,044.00","1,044.00","","-1.04%"
"07/23/2024","1,055.00","1,055.00","1,055.00","1,055.00","","0.09%"
"07/22/2024","1,054.00","1,054.00","1,054.00","1,054.00","","-0.19%"
"07/19/2024","1,056.00","1,056.00","1,056.00","1,056.00","","1.15%"
"07/18/2024","1,044.00","1,044.00","1,044.00","1,044.00","","-0.19%"
"07/17/2024","1,046.00","1,046.00","1,046.00","1,046.00","","-0.76%"
"07/16/2024","1,054.00","1,054.00","1,054.00","1,054.00","","-0.28%"
"07/15/2024","1,057.00","1,057.00","1,057.00","1,057.00","","-0.66%"
"07/12/2024","1,064.00","1,064.00","1,064.00","1,064.00","","0.19%"
"07/11/2024","1,062.00","1,062.00","1,062.00","1,062.00","","0.28%"
"07/10/2024","1,059.00","1,059.00","1,059.00","1,059.00","","-0.47%"
"07/09/2024","1,064.00","1,064.00","1,064.00","1,064.00","","-1.30%"
"07/08/2024","1,078.00","1,078.00","1,078.00","1,078.00","","-2.18%"
"07/05/2024","1,102.00","1,102.00","1,102.00","1,102.00","","-0.54%"
"07/04/2024","1,108.00","1,108.00","1,108.00","1,108.00","","-1.16%"
"07/03/2024","1,121.00","1,121.00","1,121.00","1,121.00","","-0.53%"
"07/02/2024","1,127.00","1,127.00","1,127.00","1,127.00","","-1.31%"
"07/01/2024","1,142.00","1,142.00","1,142.00","1,142.00","","-0.70%"
"06/28/2024","1,150.00","1,150.00","1,150.00","1,150.00","","-0.95%"
"06/27/2024","1,161.00","1,161.00","1,161.00","1,161.00","","-1.36%"
"06/26/2024","1,177.00","1,177.00","1,177.00","1,177.00","","-0.34%"
"06/25/2024","1,181.00","1,181.00","1,181.00","1,181.00","","-0.76%"
"06/24/2024","1,190.00","1,190.00","1,190.00","1,190.00","","-1.24%"
"06/21/2024","1,205.00","1,205.00","1,205.00","1,205.00","","-1.07%"
"06/20/2024","1,218.00","1,218.00","1,218.00","1,218.00","","-0.49%"
"06/19/2024","1,224.00","1,224.00","1,224.00","1,224.00","","-0.16%"
"06/18/2024","1,226.00","1,226.00","1,226.00","1,226.00","","-0.41%"
"06/17/2024","1,231.00","1,231.00","1,231.00","1,231.00","","-0.73%"
"06/14/2024","1,240.00","1,240.00","1,240.00","1,240.00","","-1.04%"
"06/13/2024","1,253.00","1,253.00","1,253.00","1,253.00","","-1.10%"
"06/12/2024","1,267.00","1,267.00","1,267.00","1,267.00","","0.16%"
"06/11/2024","1,265.00","1,265.00","1,265.00","1,265.00","","-0.08%"
"06/10/2024","1,266.00","1,266.00","1,266.00","1,266.00","","-0.08%"
"06/07/2024","1,267.00","1,267.00","1,267.00","1,267.00","","1.69%"
"06/06/2024","1,246.00","1,246.00","1,246.00","1,246.00","","-0.40%"
"06/05/2024","1,251.00","1,251.00","1,251.00","1,251.00","","1.05%"
"06/04/2024","1,238.00","1,238.00","1,238.00","1,238.00","","0.08%"
"06/03/2024","1,237.00","1,237.00","1,237.00","1,237.00","","-0.32%"
"05/31/2024","1,241.00","1,241.00","1,241.00","1,241.00","","0.57%"
"05/30/2024","1,234.00","1,234.00","1,234.00","1,234.00","","0.16%"
"05/29/2024","1,232.00","1,232.00","1,232.00","1,232.00","","-0.65%"
"05/28/2024","1,240.00","1,240.00","1,240.00","1,240.00","","0.49%"
"05/24/2024","1,234.00","1,234.00","1,234.00","1,234.00","","0.24%"
"05/23/2024","1,231.00","1,231.00","1,231.00","1,231.00","","-0.40%"
"05/22/2024","1,236.00","1,236.00","1,236.00","1,236.00","","0.16%"
"05/21/2024","1,234.00","1,234.00","1,234.00","1,234.00","","2.41%"
"05/20/2024","1,205.00","1,205.00","1,205.00","1,205.00","","0.84%"
"05/17/2024","1,195.00","1,195.00","1,195.00","1,195.00","","1.44%"
"05/16/2024","1,178.00","1,178.00","1,178.00","1,178.00","","2.17%"
"05/15/2024","1,153.00","1,153.00","1,153.00","1,153.00","","0.26%"
"05/14/2024","1,150.00","1,150.00","1,150.00","1,150.00","","0.00%"
"05/13/2024","1,150.00","1,150.00","1,150.00","1,150.00","","-0.43%"
"05/10/2024","1,155.00","1,155.00","1,155.00","1,155.00","","0.61%"
"05/09/2024","1,148.00","1,148.00","1,148.00","1,148.00","","0.79%"
"05/08/2024","1,139.00","1,139.00","1,139.00","1,139.00","","0.89%"
"05/07/2024","1,129.00","1,129.00","1,129.00","1,129.00","","0.62%"
"05/03/2024","1,122.00","1,122.00","1,122.00","1,122.00","","0.81%"
"05/02/2024","1,113.00","1,113.00","1,113.00","1,113.00","","-0.36%"
"05/01/2024","1,117.00","1,117.00","1,117.00","1,117.00","","-0.53%"
"04/30/2024","1,123.00","1,123.00","1,123.00","1,123.00","","0.27%"
"04/29/2024","1,120.00","1,120.00","1,120.00","1,120.00","","0.72%"
"04/26/2024","1,112.00","1,112.00","1,112.00","1,112.00","","1.09%"
"04/25/2024","1,100.00","1,100.00","1,100.00","1,100.00","","0.36%"
"04/24/2024","1,096.00","1,096.00","1,096.00","1,096.00","","0.74%"
"04/23/2024","1,088.00","1,088.00","1,088.00","1,088.00","","-1.81%"
"04/22/2024","1,108.00","1,108.00","1,108.00","1,108.00","","-0.54%"
"04/19/2024","1,114.00","1,114.00","1,114.00","1,114.00","","-1.24%"
"04/18/2024","1,128.00","1,128.00","1,128.00","1,128.00","","-0.53%"
"04/17/2024","1,134.00","1,134.00","1,134.00","1,134.00","","-3.32%"
"04/16/2024","1,173.00","1,173.00","1,173.00","1,173.00","","-1.76%"
"04/15/2024","1,194.00","1,194.00","1,194.00","1,194.00","","-0.67%"
"04/12/2024","1,202.00","1,202.00","1,202.00","1,202.00","","-0.25%"
"04/11/2024","1,205.00","1,205.00","1,205.00","1,205.00","","0.84%"
"04/10/2024","1,195.00","1,195.00","1,195.00","1,195.00","","2.58%"
"04/09/2024","1,165.00","1,165.00","1,165.00","1,165.00","","4.58%"
"04/08/2024","1,114.00","1,114.00","1,114.00","1,114.00","","-0.71%"
"04/05/2024","1,122.00","1,122.00","1,122.00","1,122.00","","-0.44%"
"04/04/2024","1,127.00","1,127.00","1,127.00","1,127.00","","0.36%"
"04/03/2024","1,123.00","1,123.00","1,123.00","1,123.00","","-0.53%"
"04/02/2024","1,129.00","1,129.00","1,129.00","1,129.00","","-0.70%"
"03/28/2024","1,137.00","1,137.00","1,137.00","1,137.00","","-0.35%"
"03/27/2024","1,141.00","1,141.00","1,141.00","1,141.00","","-1.13%"
"03/26/2024","1,154.00","1,154.00","1,154.00","1,154.00","","-0.43%"
"03/25/2024","1,159.00","1,159.00","1,159.00","1,159.00","","-0.17%"
"03/22/2024","1,161.00","1,161.00","1,161.00","1,161.00","","-1.02%"
"03/21/2024","1,173.00","1,173.00","1,173.00","1,173.00","","-1.68%"
"03/20/2024","1,193.00","1,193.00","1,193.00","1,193.00","","-1.00%"
"03/19/2024","1,205.00","1,205.00","1,205.00","1,205.00","","-0.58%"
"03/18/2024","1,212.00","1,212.00","1,212.00","1,212.00","","0.83%"
"03/15/2024","1,202.00","1,202.00","1,202.00","1,202.00","","0.42%"
"03/14/2024","1,197.00","1,197.00","1,197.00","1,197.00","","-0.08%"
"03/13/2024","1,198.00","1,198.00","1,198.00","1,198.00","","0.76%"
"03/12/2024","1,189.00","1,189.00","1,189.00","1,189.00","","0.00%"
"03/11/2024","1,189.00","1,189.00","1,189.00","1,189.00","","0.25%"
"03/08/2024","1,186.00","1,186.00","1,186.00","1,186.00","","-0.17%"
"03/07/2024","1,188.00","1,188.00","1,188.00","1,188.00","","-0.34%"
"03/06/2024","1,192.00","1,192.00","1,192.00","1,192.00","","0.17%"
"03/05/2024","1,190.00","1,190.00","1,190.00","1,190.00","","3.93%"
"03/04/2024","1,145.00","1,145.00","1,145.00","1,145.00","","0.26%"
"03/01/2024","1,142.00","1,142.00","1,142.00","1,142.00","","-0.26%"
"02/29/2024","1,145.00","1,145.00","1,145.00","1,145.00","","-0.95%"
"02/28/2024","1,156.00","1,156.00","1,156.00","1,156.00","","-2.03%"
"02/27/2024","1,180.00","1,180.00","1,180.00","1,180.00","","-0.92%"
"02/26/2024","1,191.00","1,191.00","1,191.00","1,191.00","","-1.49%"
"02/23/2024","1,209.00","1,209.00","1,209.00","1,209.00","","-2.26%"
"02/22/2024","1,237.00","1,237.00","1,237.00","1,237.00","","-3.81%"
"02/21/2024","1,286.00","1,286.00","1,286.00","1,286.00","","-2.87%"
"02/20/2024","1,324.00","1,324.00","1,324.00","1,324.00","","-1.05%"
"02/19/2024","1,338.00","1,338.00","1,338.00","1,338.00","","-0.22%"
"02/16/2024","1,341.00","1,341.00","1,341.00","1,341.00","","0.37%"
"02/15/2024","1,336.00","1,336.00","1,336.00","1,336.00","","2.45%"
"02/14/2024","1,304.00","1,304.00","1,304.00","1,304.00","","0.62%"
"02/13/2024","1,296.00","1,296.00","1,296.00","1,296.00","","0.86%"
"02/12/2024","1,285.00","1,285.00","1,285.00","1,285.00","","1.34%"
"02/09/2024","1,268.00","1,268.00","1,268.00","1,268.00","","1.04%"
"02/08/2024","1,255.00","1,255.00","1,255.00","1,255.00","","0.08%"
"02/07/2024","1,254.00","1,254.00","1,254.00","1,254.00","","-0.63%"
"02/06/2024","1,262.00","1,262.00","1,262.00","1,262.00","","-0.94%"
"02/05/2024","1,274.00","1,274.00","1,274.00","1,274.00","","-1.01%"
"02/02/2024","1,287.00","1,287.00","1,287.00","1,287.00","","-0.62%"
"02/01/2024","1,295.00","1,295.00","1,295.00","1,295.00","","-0.84%"
"01/31/2024","1,306.00","1,306.00","1,306.00","1,306.00","","-0.99%"
"01/30/2024","1,319.00","1,319.00","1,319.00","1,319.00","","-2.01%"
"01/29/2024","1,346.00","1,346.00","1,346.00","1,346.00","","-0.07%"
"01/26/2024","1,347.00","1,347.00","1,347.00","1,347.00","","1.58%"
"01/25/2024","1,326.00","1,326.00","1,326.00","1,326.00","","-0.15%"
"01/24/2024","1,328.00","1,328.00","1,328.00","1,328.00","","-1.12%"
"01/23/2024","1,343.00","1,343.00","1,343.00","1,343.00","","-3.59%"
"01/22/2024","1,393.00","1,393.00","1,393.00","1,393.00","","-2.11%"
"01/19/2024","1,423.00","1,423.00","1,423.00","1,423.00","","-5.13%"
"01/18/2024","1,500.00","1,500.00","1,500.00","1,500.00","","-2.72%"
"01/17/2024","1,542.00","1,542.00","1,542.00","1,542.00","","-0.64%"
"01/16/2024","1,552.00","1,552.00","1,552.00","1,552.00","","1.97%"
"01/15/2024","1,522.00","1,522.00","1,522.00","1,522.00","","3.33%"
"01/12/2024","1,473.00","1,473.00","1,473.00","1,473.00","","0.61%"
"01/11/2024","1,464.00","1,464.00","1,464.00","1,464.00","","0.48%"
"01/10/2024","1,457.00","1,457.00","1,457.00","1,457.00","","0.34%"
"01/09/2024","1,452.00","1,452.00","1,452.00","1,452.00","","2.54%"
"01/08/2024","1,416.00","1,416.00","1,416.00","1,416.00","","2.31%"
"01/05/2024","1,384.00","1,384.00","1,384.00","1,384.00","","4.22%"
"01/04/2024","1,328.00","1,328.00","1,328.00","1,328.00","","2.55%"
"01/03/2024","1,295.00","1,295.00","1,295.00","1,295.00","","2.94%"
"01/02/2024","1,258.00","1,258.00","1,258.00","1,258.00","","4.83%"
"12/22/2023","1,200.00","1,200.00","1,200.00","1,200.00","","0.25%"
"12/21/2023","1,197.00","1,197.00","1,197.00","1,197.00","","1.35%"
"12/20/2023","1,181.00","1,181.00","1,181.00","1,181.00","","3.51%"
"12/19/2023","1,141.00","1,141.00","1,141.00","1,141.00","","2.24%"
"12/18/2023","1,116.00","1,116.00","1,116.00","1,116.00","","1.18%"
"12/15/2023","1,103.00","1,103.00","1,103.00","1,103.00","","1.01%"
"12/14/2023","1,092.00","1,092.00","1,092.00","1,092.00","","0.18%"
"12/13/2023","1,090.00","1,090.00","1,090.00","1,090.00","","-1.18%"
"12/12/2023","1,103.00","1,103.00","1,103.00","1,103.00","","-1.34%"
"12/11/2023","1,118.00","1,118.00","1,118.00","1,118.00","","-0.97%"
"12/08/2023","1,129.00","1,129.00","1,129.00","1,129.00","","-1.40%"
"12/07/2023","1,145.00","1,145.00","1,145.00","1,145.00","","-1.89%"
"12/06/2023","1,167.00","1,167.00","1,167.00","1,167.00","","-0.51%"
"12/05/2023","1,173.00","1,173.00","1,173.00","1,173.00","","0.17%"
"12/04/2023","1,171.00","1,171.00","1,171.00","1,171.00","","-0.09%"
"12/01/2023","1,172.00","1,172.00","1,172.00","1,172.00","","-1.01%"
"11/30/2023","1,184.00","1,184.00","1,184.00","1,184.00","","-0.67%"
